atomicNumber	elementSymbol	name	covSingleBondRadius	covDoubleBondRadius	covTripleBondRadius	electronegativity	valency	colorValue									
1	H	Hydrogen	32	32	32	2.2	[1]	#FFFFFF									
2	He	Helium	46			0	[0]	#D9FFFF									
3	Li	Lithium	133	124		0.98	[1]	#CC80FF									
4	Be	Beryllium	102	90	85	1.57	[2]	#C2FF00									
5	B	Boron	85	78	73	2.04	[3]	#FFB5B5									
6	C	Carbon	75	67	60	2.55	[4]	#909090									
7	N	Nitrogen	71	60	54	3.04	[3,4]	#3050F8									
8	O	Oxygen	63	57	53	3.44	[2]	#FF0D0D									
9	F	Fluorine	64	59	53	3.98	[1]	#90E050									
10	Ne	Neon	67	96		0	[0]	#B3E3F5									
11	Na	Sodium	155	160		0.93	[1]	#AB5CF2									
12	Mg	Magnesium	139	132	127	1.31	[2]	#8AFF00									
13	Al	Aluminium	126	113	111	1.61	[3]	#BFA6A6									
14	Si	Silicon	116	107	102	1.9	[4]	#F0C8A0									
15	P	Phosphorus	111	102	94	2.19	[3,5]	#FF8000									
16	S	Sulfur	103	94	95	2.58	[2,4,6]	#FFFF30									
17	Cl	Chlorine	99	95	93	3.16	[1]	#1FF01F									
18	Ar	Argon	96	107	96	0	[0]										
19	K	Potassium	196	193		0.82	[1]	#8F40D4									
20	Ca	Calcium	171	147	133	1	[2]	#3DFF00									
21	Sc	Scandium	148	116	114	1.36	[3]				“	“: { row: 	4	, col: 	3	 },	“Sc“: { row: 4, col: 3 },
22	Ti	Titanium	136	117	108	1.54	[2,3,4]				“	“: { row: 	4	, col: 	4	 },	“Ti“: { row: 4, col: 4 },
23	V	Vanadium	134	112	106	1.63	[2,3,4,5]				“	“: { row: 	4	, col: 	5	 },	“V“: { row: 4, col: 5 },
24	Cr	Chromium	122	111	103	1.66	[2,3,6]				“	“: { row: 	4	, col: 	6	 },	“Cr“: { row: 4, col: 6 },
25	Mn	Manganese	119	105	103	1.55	[2,4,7]				“	“: { row: 	4	, col: 	7	 },	“Mn“: { row: 4, col: 7 },
26	Fe	Iron	116	109	102	1.83	[2,3,6]	#E06633			“	“: { row: 	4	, col: 	8	 },	“Fe“: { row: 4, col: 8 },
27	Co	Cobalt	111	103	96	1.88	[2,3]				“	“: { row: 	4	, col: 	9	 },	“Co“: { row: 4, col: 9 },
28	Ni	Nickel	110	101	101	1.91	[2]				“	“: { row: 	4	, col: 	10	 },	“Ni“: { row: 4, col: 10 },
